hash_bits,matrix_dim,candidate,mean_gap,std_gap,energy,is_target
32,18,0,0.4916627480,0.8412494025,181.5452539120,0
32,18,131,0.4146288103,0.7076759415,164.9778537297,0
32,18,262,0.4161070891,0.7216163796,163.8628409667,0
32,18,393,0.3990532332,0.6299673089,161.3804239132,0
32,18,524,0.4204630409,0.7412189070,162.6165069733,0
32,18,655,0.4251410891,0.6679853158,155.1735306071,0
32,18,786,0.4260945940,0.7513740534,162.7972644697,0
32,18,917,0.4005916286,0.6228560590,155.3900881354,0
32,18,1048,0.4301450175,0.7397374544,161.5070488939,0
32,18,1179,0.3966822810,0.6507408381,151.9800460823,0
32,18,1310,0.3917723908,0.7108399851,153.7428469073,0
32,18,1441,0.3882896993,0.6573265576,151.6533831758,0
32,18,1572,0.4120463662,0.7939357856,161.3556151057,0
32,18,1703,0.4001949419,0.6824430380,150.9143438485,0
32,18,1834,0.3935349983,0.6688046455,156.2841529139,0
32,18,1965,0.4139421957,0.6561498853,153.0164182483,0
32,18,2096,0.4305307526,0.8494011097,163.2523334023,0
32,18,2227,0.3752867008,0.6961938422,150.5560268486,0
32,18,2358,0.3737348717,0.7515614764,152.2111433571,0
32,18,2489,0.3473735978,0.6924222063,147.7555493412,0
32,18,2620,0.4060392310,0.8253499728,153.9665139763,0
32,18,2751,0.4416913377,0.7952696230,150.6272891173,0
32,18,2882,0.3745633388,0.6721829727,151.2841240554,0
32,18,3013,0.3787033018,0.6537581976,150.3561228502,0
32,18,3144,0.3927746358,0.7308147725,154.7468642385,0
32,18,3275,0.3939284053,0.6688212941,151.3506606420,0
32,18,3406,0.3549735692,0.6446977781,147.1622995708,0
32,18,3537,0.3521453401,0.6405069135,148.0711562633,0
32,18,3668,0.3729611440,0.7386965238,153.1720982105,0
32,18,3799,0.4083482885,0.7035330182,150.4974987023,0
32,18,3930,0.3902804899,0.6759359129,151.7545574180,0
32,18,4061,0.4296284177,0.7027176550,155.0523167547,0
32,18,4192,0.4026267838,0.6351841236,157.4982448278,0
32,18,4323,0.3671173204,0.5457218489,150.7115136261,0
32,18,4454,0.3291362364,0.5521847830,145.4829621183,0
32,18,4585,0.3799194312,0.5139953993,150.2045520983,0
32,18,4716,0.3473686044,0.7017675344,146.5116034468,0
32,18,4847,0.4244303459,0.7591447773,148.9763780201,0
32,18,4978,0.3523992519,0.6643386114,147.1132466287,0
32,18,5109,0.4176884474,0.6564690349,152.1629659271,0
