hash_bits,matrix_dim,key_bits,search_space,tested,found,mean_gap,std_gap,energy,crack_time_ms
8,6,6,64,35,1,0.3875974366,0.3320028247,20.4835069343,0.000
12,8,8,256,49,1,0.5316892054,0.4204136263,38.6565371376,1.000
16,10,10,1024,294,1,0.3018667972,0.2468583316,49.2244606756,15.000
20,12,12,4096,487,1,0.3695509910,0.2911465800,71.2192472094,23.000
24,14,14,16384,1565,1,0.3673808254,0.5526625163,96.6247656731,83.000
28,16,16,65536,48105,1,0.3305251631,0.3414952142,119.4770888818,3204.000
32,18,18,262144,230384,1,0.4197026341,0.5493355532,155.8335057138,14404.000
36,20,20,1048576,519403,1,0.3160194156,0.4341467133,178.9980331859,39120.000
40,22,22,4194304,2504240,1,0.2951735130,0.4244268313,200.9902017609,223389.000
44,24,24,16777216,11778928,1,0.2797416922,0.5089322728,236.5611123380,1095607.000
